status,esu_dps,x_min,y_min,x_max,y_max,species,subdomain,altspname,species2,species3,area,v_count_evergreen_forest,v_count_open_water,v_count_shrubland,v_count_grass_pasture,v_count_woody_wetlands,v_count_barren,v_count_deciduous_forest,v_count_developed_open_space,v_count_developed_low_intensity,v_count_mixed_forest,v_count_herbaceous_wetlands,v_count_christmas_trees,v_count_developed_med_intensity,v_count_background,v_count_alfalfa,v_count_fallow_idle_cropland,v_pct_evergreen_forest,v_pct_open_water,v_pct_shrubland,v_pct_grass_pasture,v_pct_woody_wetlands,v_pct_barren,v_pct_deciduous_forest,v_pct_developed_open_space,v_pct_developed_low_intensity,v_pct_mixed_forest,v_pct_herbaceous_wetlands,v_pct_christmas_trees,v_pct_developed_med_intensity,v_pct_background,v_pct_alfalfa,v_pct_fallow_idle_cropland,v_count_perennial_ice_snow,v_count_other_crops,v_count_rye,v_count_corn,v_count_potatoes,v_count_barley,v_pct_perennial_ice_snow,v_pct_other_crops,v_pct_rye,v_pct_corn,v_pct_potatoes,v_pct_barley,v_count_other_hay_non_alfalfa,v_count_developed_high_intensity,v_count_blueberries,v_count_apples,v_count_aquaculture,v_count_caneberries,v_count_sod_grass_seed,v_count_greens,v_count_pumpkins,v_count_grapes,v_count_dry_beans,v_count_other_tree_crops,v_count_winter_wheat,v_count_oats,v_count_broccoli,v_count_cucumbers,v_count_sweet_corn,v_count_pears,v_count_strawberries,v_count_peas,v_count_sugarbeets,v_count_cabbage,v_count_squash,v_count_cherries,v_count_spring_wheat,v_pct_other_hay_non_alfalfa,v_pct_developed_high_intensity,v_pct_blueberries,v_pct_apples,v_pct_aquaculture,v_pct_caneberries,v_pct_sod_grass_seed,v_pct_greens,v_pct_pumpkins,v_pct_grapes,v_pct_dry_beans,v_pct_other_tree_crops,v_pct_winter_wheat,v_pct_oats,v_pct_broccoli,v_pct_cucumbers,v_pct_sweet_corn,v_pct_pears,v_pct_strawberries,v_pct_peas,v_pct_sugarbeets,v_pct_cabbage,v_pct_squash,v_pct_cherries,v_pct_spring_wheat,v_count_triticale,v_count_clover_wildflowers,v_count_carrots,v_count_misc_vegs_fruits,v_pct_triticale,v_pct_clover_wildflowers,v_pct_carrots,v_pct_misc_vegs_fruits,v_count_garlic,v_count_herbs,v_count_flaxseed,v_count_safflower,v_count_onions,v_count_radishes,v_pct_garlic,v_pct_herbs,v_pct_flaxseed,v_pct_safflower,v_pct_onions,v_pct_radishes,v_count_walnuts,v_count_olives,v_count_almonds,v_count_tomatoes,v_count_citrus,v_count_oranges,v_count_dbl_crop_win_wht_corn,v_count_pistachios,v_count_cantaloupes,v_count_rice,v_count_dbl_crop_oats_corn,v_count_pecans,v_count_sunflower,v_count_asparagus,v_count_sorghum,v_count_watermelons,v_pct_walnuts,v_pct_olives,v_pct_almonds,v_pct_tomatoes,v_pct_citrus,v_pct_oranges,v_pct_dbl_crop_win_wht_corn,v_pct_pistachios,v_pct_cantaloupes,v_pct_rice,v_pct_dbl_crop_oats_corn,v_pct_pecans,v_pct_sunflower,v_pct_asparagus,v_pct_sorghum,v_pct_watermelons,v_count_pomegranates,v_count_plums,v_pct_pomegranates,v_pct_plums,v_count_cotton,v_count_honeydew_melons,v_count_vetch,v_count_peaches,v_count_peppers,v_count_pop_or_orn_corn,v_count_canola,v_count_dbl_crop_win_wht_sorghum,v_count_dbl_crop_barley_corn,v_count_mint,v_pct_cotton,v_pct_honeydew_melons,v_pct_vetch,v_pct_peaches,v_pct_peppers,v_pct_pop_or_orn_corn,v_pct_canola,v_pct_dbl_crop_win_wht_sorghum,v_pct_dbl_crop_barley_corn,v_pct_mint,v_count_lentils,v_count_rape_seed,v_count_buckwheat,v_count_millet,v_count_soybeans,v_count_hops,v_count_mustard,v_count_lettuce,v_pct_lentils,v_pct_rape_seed,v_pct_buckwheat,v_pct_millet,v_pct_soybeans,v_pct_hops,v_pct_mustard,v_pct_lettuce,v_count_apricots,v_pct_apricots,v_count_cauliflower,v_count_turnips,v_pct_cauliflower,v_pct_turnips,v_count_sweet_potatoes,v_pct_sweet_potatoes,v_count_durum_wheat,v_count_chick_peas,v_pct_durum_wheat,v_pct_chick_peas,v_count_nectarines,v_pct_nectarines,v_count_dbl_crop_win_wht_cotton,v_pct_dbl_crop_win_wht_cotton,v_count_gourds,v_pct_gourds,domain
Threatened,Lake Ozette Sockeye,0,0,0,0,Sockeye,Washington Coast,Sockeye,Sockeye,Salmon,232.354384414763,172265,33329,33279,7948,4664,4012,847,620,541,496,106,24,24,10,1,1,0.6672618886224808,0.12909860671580797,0.12890493362823288,0.030786274000937378,0.018065825609005024,0.015540328547025762,0.003280822103522139,0.0024015462859312,0.002095542807562547,0.0019212370287449597,4.105869456592051e-4,9.296308203604644e-5,9.296308203604644e-5,3.873461751501935e-5,3.873461751501935e-6,3.873461751501935e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Puget Sound
Endangered,Snake River Sockeye,0,0,0,0,Sockeye,Snake River,Sockeye,Sockeye,Salmon,699.242730206988,428406,20001,135687,152790,3249,8464,35,521,1118,NA,10560,NA,194,NA,247,NA,0.5514009429287423,0.0257432675067991,0.17464260477951352,0.19665585932522547,0.004181784717243652,0.010894006108571951,4.504846571361275e-5,6.705785896226355e-4,0.00143897670479483,NA,0.01359176565530716,NA,2.496972099554535e-4,NA,3.179134580360671e-4,NA,15656,4,4,2,2,1,0.020150822263209175,5.148396081555742e-6,5.148396081555742e-6,2.574198040777871e-6,2.574198040777871e-6,1.2870990203889355e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Interior Columbia
Not Warranted,Even Year Pink Salmon,-122.2509,47.4243,-121.0702,48.1723,Even Year Pink Salmon,Puget Sound,Pink,Pink,Salmon,3531.8815514398502,1958770,58754,465355,83681,45938,72459,113145,221170,174023,524566,40565,1223,63670,675,1100,804,0.4991395902395667,0.014971868818153997,0.11858314351145544,0.021323841007794272,0.011706057626176231,0.018464217631048448,0.02883194501531868,0.05635919642085848,0.044345057823154385,0.133671466427201,0.010336893804820384,3.1164849311710415e-4,0.01622457854191825,1.7200550519545814e-4,2.8030526772593176e-4,2.0487766841059013e-4,4833,76,5,16357,137,5751,0.0012315594171994802,1.9366545770155286e-5,1.27411485329969e-6,0.0041681393310846054,3.49107469804115e-5,0.0014654869042653033,36063,17226,12129,2257,1589,565,429,354,245,102,59,53,41,31,30,28,12,7,4,3,3,2,2,1,1,0.009189680790909344,0.0043895804925880915,0.003090747811134388,5.7513544477948e-4,4.0491370037864144e-4,1.4397497842286497e-4,1.093190544131134e-4,9.020733161361805e-5,6.24316278116848e-5,2.5991943007313674e-5,1.503455526893634e-5,1.3505617444976714e-5,1.0447741797057457e-5,7.899512090458078e-6,7.64468911979814e-6,7.135043178478264e-6,3.057875647919256e-6,1.783760794619566e-6,1.0192918826397518e-6,7.64468911979814e-7,7.64468911979814e-7,5.096459413198759e-7,5.096459413198759e-7,2.5482297065993796e-7,2.5482297065993796e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Puget Sound
Threatened,Hood Canal Summer-run Chum Salmon,-123.5247,47.2657,-122.5403,48.1848,Summer-run Chum,Puget Sound,Chum,Chum,Salmon,3558.30745648504,2531777,14715,486165,123729,28533,138484,110360,145332,89322,170320,21597,1885,25076,1539,4396,1276,0.6403526498947953,0.003721808533374746,0.12296384951601314,0.03129430159877159,0.0072167422958057505,0.03502622717878819,0.027912931684895476,0.03675826556387486,0.0225918710036085,0.04307838460104565,0.005462446408106992,4.7676582299771634e-4,0.006342376539782883,3.892533695456156e-4,0.0011118634259405628,3.227337878753772e-4,45655,NA,NA,963,NA,1706,0.011547344110854504,NA,NA,2.4356789790281211e-4,NA,4.3149203927538677e-4,644,7685,70,NA,1139,45,7,244,1,1,NA,NA,34,432,NA,NA,NA,NA,7,1,NA,1,NA,NA,NA,1.628844509339678e-4,0.0019437375860676127,1.770483162325737e-5,NA,2.8808290312700205e-4,1.1381677472094023e-5,1.770483162325737e-6,6.171398451535426e-5,2.5292616604653386e-7,2.5292616604653386e-7,NA,NA,8.59948964558215e-6,1.0926410373210262e-4,NA,NA,NA,NA,1.770483162325737e-6,2.5292616604653386e-7,NA,2.5292616604653386e-7,NA,NA,NA,319,259,2,2,8.06834469688443e-5,6.550787700605227e-5,5.058523320930677e-7,5.058523320930677e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Puget Sound
Not Warranted,Deschutes River Summer\Fall-run Chinook Salmon,-121.8203,44.6415,-120.7721,45.6412,Summer/fall-run Chinook,Middle Columbia River,Late Chinook,Chinook,Salmon,3626.26292607424,1173545,17790,2437184,24266,802,15221,205,37443,12295,69,365,NA,2265,NA,23167,135914,0.2912625094126179,0.00441530579777552,0.6048854775405134,0.006022586311906732,1.9904863686430392e-4,0.00377770486497702,5.0879015657334545e-5,0.009292990162232085,0.003051499987838674,1.7125132099297968e-5,9.058946690208345e-5,NA,5.621510754334768e-4,NA,0.005749825149919363,0.03373253919049252,5,156,15,154,NA,6537,1.2409516013984036e-6,3.871768996363019e-5,3.7228548041952105e-6,3.822130932307083e-5,NA,0.0016224201236682727,13754,398,1,30,NA,NA,25067,NA,NA,57,216,NA,80427,NA,NA,NA,NA,15,NA,8,NA,NA,NA,624,6478,0.0034136096651267286,9.877974747131292e-5,2.481903202796807e-7,7.445709608390421e-6,NA,NA,0.006221386758450756,NA,NA,1.41468482559418e-5,5.360910918041103e-5,NA,0.019961202889133882,NA,NA,NA,NA,3.7228548041952105e-6,NA,1.9855225622374456e-6,NA,NA,NA,1.5487075985452076e-4,0.0016077768947717716,1886,NA,8921,NA,4.680869440474778e-4,NA,0.0022141058472150317,NA,1890,1085,479,428,3,1,4.6907970532859654e-4,2.6928649750345356e-4,1.1888316341396706e-4,1.0622545707970334e-4,7.445709608390421e-7,2.481903202796807e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Interior Columbia
Endangered,Central California Coast Coho Salmon,-124.364,36.8748,-121.809,40.3023,Coho,North-Central California Coast,Coho,Coho,Salmon,10611.5331416066,5627270,48764,2181480,1474509,47294,17156,80447,705135,187108,887133,22817,NA,172253,66134,3950,1532,0.47726801049006295,0.004135841582781247,0.18501877811511844,0.1250581502006643,0.00401116585628858,0.0014550590229307498,0.0068229851490854525,0.05980491047646737,0.015869269273870758,0.07524078317729219,0.0019351877900565934,NA,0.014609365928939756,0.005609050677459909,3.3501300656192944e-4,1.2993415849439895e-4,NA,1,NA,2,NA,45,NA,8.481341938276695e-8,NA,1.696268387655339e-7,NA,3.8166038722245125e-6,18622,33945,NA,NA,NA,NA,40,10,3,207545,3,14,674,3523,NA,2,NA,NA,1981,NA,NA,NA,NA,17,7,0.0015793954957458861,0.002878991520948024,NA,NA,NA,NA,3.392536775310678e-6,8.481341938276695e-7,2.5444025814830083e-7,0.017602601125796365,2.5444025814830083e-7,1.1873878713587373e-6,5.7164244663984924e-5,2.9879767648548797e-4,NA,1.696268387655339e-7,NA,NA,1.6801538379726132e-4,NA,NA,NA,NA,1.4418281295070381e-6,5.936939356793686e-7,184,133,4,NA,1.5605669166429117e-5,1.1280184777908003e-5,3.392536775310678e-7,NA,NA,NA,NA,12,2,NA,NA,NA,NA,1.0177610325932033e-6,1.696268387655339e-7,NA,464,1,222,15,NA,NA,NA,63,1,24,27,3,1,NA,6,4,3.935342659360387e-5,8.481341938276695e-8,1.8828579102974263e-5,1.2722012907415042e-6,NA,NA,NA,5.3432454211143175e-6,8.481341938276695e-8,2.0355220651864067e-6,2.2899623233347075e-6,2.5444025814830083e-7,8.481341938276695e-8,NA,5.088805162966017e-7,3.392536775310678e-7,4,1,3.392536775310678e-7,8.481341938276695e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-Central California Coast
Endangered,Sacramento River Winter-run Chinook Salmon,-122.6622,38.0255,-121.2208,40.7301,Winter-run Chinook,California Central Valley,Late Chinook,Chinook,Salmon,11049.8908467688,694512,184021,785331,2552032,87792,63609,71417,527095,318333,73931,192025,NA,381168,NA,523553,1321062,0.056567130870214685,0.01498827952557735,0.06396422445319384,0.20785980390400124,0.007150548231503397,0.005180873228286172,0.00581682503017676,0.04293122630859626,0.025927823380025184,0.006021587175406388,0.0156401952815113,NA,0.031045655279589107,NA,0.042642734853384115,0.10759884212463938,24,22070,1132,204839,3,13676,1.954769882860415e-6,0.0017975738047803897,9.219997947491623e-5,0.01668387950146852,2.4434623535755187e-7,0.0011138930382499598,204561,88238,NA,574,47,NA,5664,NA,34,121096,37291,3306,279367,38008,NA,13563,NA,27836,7,3449,NA,NA,3573,4297,308,0.016661236750325388,0.007186874371826553,NA,4.675157969841159e-5,3.828091020601646e-6,NA,4.613256923550579e-4,NA,2.7692573340522542e-6,0.009863117238952699,0.0030373051542394885,2.6926955136402213e-4,0.022754091577711064,0.0030957039044899434,NA,0.0011046893300514918,NA,0.0022672072691376044,5.701412158342876e-7,2.809167219160654e-4,NA,NA,2.9101636631084424e-4,3.4998525777713344e-4,2.5086213496708658e-5,37528,145843,173,178,0.0030566085068327352,0.011878729334417144,1.4090632905618822e-5,1.4497876631214743e-5,33,8,NA,104443,296,NA,2.6878085889330705e-6,6.515899609534716e-7,NA,0.00850675128648293,2.4108828555278447e-5,NA,883805,24650,411273,128319,1,112,11128,42715,8433,1238620,8105,1716,159344,13,18971,19856,0.07198480818006037,0.0020077115671878845,0.03349766975140214,0.010451421524948564,8.144874511918395e-8,9.122259453348602e-6,9.06361635686279e-4,0.0034790831477659423,6.868572675900783e-4,0.10088404467952362,6.601420791909859e-4,1.3976604662451966e-4,0.012978368842271246,1.0588336865493914e-6,0.0015451641436560386,0.0016172462830865164,369,158111,3.005458694897888e-5,0.012877942539539293,10196,6304,3851,1796,1584,879,74,61,26,2,8.304514052351995e-4,5.134528892313357e-4,3.136591174539774e-4,1.4628194623405436e-4,1.2901481226878738e-4,7.159344695976269e-5,6.027207138819612e-6,4.968373452270221e-6,2.117667373098783e-6,1.628974902383679e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Central Valley
Threatened,Snake River Fall-run Chinook Salmon,-119.076,45.1408,-115.8262,46.7986,Fall-run Chinook,Snake River,Late Chinook,Chinook,Salmon,11431.4048058902,3171792,235560,4119695,2353106,4024,926,3851,212333,64402,123,6048,360,21777,NA,102475,515413,0.24971773038935768,0.018545827901235986,0.32434689453040577,0.18526192439024372,3.1681275035903215e-4,7.290472336790849e-5,3.031923214792825e-4,0.016717147545224745,0.00507042116019443,9.683888741093677e-6,4.7616389517182565e-4,2.8343088998322956e-5,0.0017145206919902194,NA,0.008067939014175402,0.04057887924970175,3,225,406,50657,61741,28575,2.3619240831935797e-7,1.7714430623951848e-5,3.1964705925886446e-5,0.003988266276077905,0.00486091849401516,0.0022497326892418844,218976,3876,2883,55630,NA,NA,44833,21,3,13573,212411,NA,904265,4217,NA,NA,99,NA,NA,50842,14,1,33,4946,175026,0.017240156268046578,3.051605915486105e-4,2.26980904394903e-4,0.004379794558268628,NA,NA,0.0035297380807272584,1.6533468582355057e-6,2.3619240831935797e-7,0.0010686131860395485,0.016723288547841046,NA,0.07119350936963474,3.320077952942442e-4,NA,NA,7.794349474538813e-6,NA,NA,0.004002831474590933,1.1022312388236705e-6,7.873080277311932e-8,2.5981164915129377e-6,3.8940255051584814e-4,0.013779937486167982,3040,3191,355,NA,2.3934164043028274e-4,2.5122999164902375e-4,2.7949434984457358e-5,NA,2,513,NA,NA,8969,NA,1.5746160554623864e-7,4.0388901822610214e-5,NA,NA,7.061365700721071e-4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,458,2,251,NA,1.5746160554623864e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6058707670088645e-005,1.5746160554623864e-7,1.9761431496052948e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,16054,NA,NA,144,NA,NA,NA,NA,1.5746160554623864e-7,NA,0.0012639443077196576,NA,NA,1.1337235599329181e-5,19917,2719,449,222,60,11,5,2,0.0015680813988322175,2.1406905274011143e-4,3.5350130445130573e-5,1.747823821563249e-5,4.723848166387159e-6,8.660388305043125e-7,3.936540138655966e-7,1.5746160554623864e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Interior Columbia
Endangered,Upper Columbia River Spring-run Chinook Salmon,-121.1533,47.2827,-119.1427,49.0002,Spring-run Chinook,Upper Columbia River,Stream type Chinook,Chinook,Salmon,11680.1371090878,5833523,151848,5003393,601750,24936,306783,1604,164796,214423,550,5991,NA,66923,NA,44127,167097,0.4494968560001449,0.011700510753092084,0.38553193719012213,0.046367303788480335,0.0019214210008633912,0.02363888750833629,1.2359477403692972e-4,0.012698207220816627,0.016522170968404352,4.237975418972029e-5,4.616311042738441e-4,NA,0.005156691435706638,NA,0.0034001662056905224,0.01287550870152671,12984,7,NA,5422,17,4506,0.0010004704152715058,5.393786896873491e-7,NA,4.177873222121153e-4,1.3099196749549908e-6,3.472057679615993e-4,7913,14112,1,158159,NA,1,2,3,NA,309,73,NA,91358,807,NA,NA,35,47603,NA,3294,2,NA,2,22677,7651,6.097290816422848e-4,0.001087387438409696,7.705409852676416e-8,0.012186799168894494,NA,7.705409852676416e-8,1.5410819705352832e-7,2.3116229558029248e-7,NA,2.3809716444770127e-5,5.624949192453784e-6,NA,0.007039508333208121,6.218265751109868e-5,NA,NA,2.6968934484367458e-6,0.0036680062521695545,NA,2.5381620054716115e-4,1.5410819705352832e-7,NA,1.5410819705352832e-7,0.001747355792291431,5.895409078282726e-4,2041,NA,4,NA,1.5726741509312567e-4,NA,3.0821639410705664e-7,NA,NA,3,NA,NA,40,NA,NA,2.3116229558029248e-7,NA,NA,3.0821639410705666e-6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,NA,NA,5,7.705409852676416e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.094168199080051e-5,NA,NA,3.852704926338208e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10882,NA,NA,16,NA,NA,NA,NA,NA,NA,8.385027001682476e-4,NA,NA,1.2328655764282266e-6,2,NA,2,NA,NA,55,NA,NA,1.5410819705352832e-7,NA,1.5410819705352832e-7,NA,NA,4.237975418972029e-6,NA,NA,20,1.5410819705352833e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Interior Columbia
